Akron
Athens
Cambridge
Canton
Cincinnati
Cleveland
Columbus
Dayton
Findlay
Gallipolis
Lima
Mansfield
Marietta
Portsmouth
Sandusky
Springfield
Toledo
Youngstown
Zanesville

0	3	20
0	5	39
0	11	66
0	17	50
0	12	85
2	18	23
3	6	117
3	11	65
3	17	59
6	15	44
6	18	56
7	10	70
7	15	32
8	11	68
8	14	63
8	16	47
8	10	35
9	10	80
12	13	131
12	18	71
4	6	111
4	7	55
4	9	153
4	13	120
4	15	84
1	9	48
1	12	44
1	13	87
1	17	58
1	4	163
1	6	74
2	3	59
2	12	50
5	14	65
5	17	76
5	8	127
5	11	80
6	8	96
6	9	108
6	11	66
6	12	127
6	13	91
14	16	61
